customer_name,phone,address1,address2,city,state,postal_code,country,contact_last_name,contact_first_name,deal_size
Collectables For Less Inc.,(617) 555-8555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,Nelson,Allen,Medium
Corporate Gift Ideas Co.,(650) 555-1386,7734 Strong St.,,San Francisco,CA,,USA,Brown,Julie,Large
"Anna's Decorations, Ltd",(029) 936-8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean,Medium
"Australian Collectors, Co.",(039) 520-4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Small
Daedalus Designs Imports,,"184, chausse de Tournai",,Lille,,59000,France,Rance,Martine,Medium
Osaka Souveniers Co.,,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Kentary,Mory,Medium
Motor Mint Distributors Inc.,(215) 555-9857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,Hernandez,Rosa,Small
Atelier graphique,,"54, rue Royale",,Nantes,,44000,France,Schmitt,Carine,Medium
Mini Classics,(914) 555-4562,3758 North Pendale Street,,White Plains,NY,24067,USA,Frick,Steve,Medium
"Tokyo Collectables, Ltd",,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Small
"Australian Gift Network, Co",,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Medium
FunGiftIdeas.com,(508) 555-2555,1785 First Street,,New Bedford,MA,50553,USA,Benitez,Violeta,Small
Euro Shopping Channel,,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,Freyre,Diego,Medium
"Australian Collectors, Co.",(039) 520-4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Large
Lyon Souveniers,,27 rue du Colonel Pierre Avia,,Paris,,75508,France,Da Cunha,Daniel,Large
Daedalus Designs Imports,,"184, chausse de Tournai",,Lille,,59000,France,Rance,Martine,Large
Herkku Gifts,,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,Oeztan,Veysel,Large
Mini Wheels Co.,(650) 555-5787,5557 North Pendale Street,,San Francisco,CA,,USA,Murphy,Julie,Large
Vitachrome Inc.,(212) 555-1500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Large
Tekni Collectables Inc.,(201) 555-9350,7476 Moss Rd.,,Newark,NJ,94019,USA,Brown,William,Large
Gift Depot Inc.,(203) 555-2570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,King,Julie,Large
"Toys of Finland, Co.",,Keskuskatu 45,,Helsinki,,21240,Finland,Karttunen,Matti,Medium
Diecast Classics Inc.,(215) 555-1555,7586 Pompton St.,,Allentown,PA,70267,USA,Yu,Kyung,Large
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12 Brewery,,Liverpool,,WX1 6LT,UK,Devon,Elizabeth,Large
Danish Wholesale Imports,,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,Petersen,Jytte,Large
Salzburg Collectables,,Geislweg 14,,Salzburg,,5020,Austria,Pipps,Georg,Medium
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,Brown,Ann,Medium
Mini Creations Ltd.,(508) 555-9555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,Tam,Wing C,Medium
Scandinavian Gift Ideas,(069) 534-6555,?kergatan 24,,Boras,,S-844 67,Sweden,Larsson,Maria,Medium
Alpha Cognac,,1 rue Alsace-Lorraine,,Toulouse,,31000,France,Roulet,Annette,Medium
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,Hardy,Thomas,Medium
Enaco Distributors,,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,Saavedra,Eduardo,Medium
"Men 'R' US Retailers, Ltd.",(215) 555-4369,6047 Douglas Av.,,Los Angeles,CA,,USA,Chandler,Michael,Medium
Collectable Mini Designs Co.,(760) 555-8146,361 Furth Circle,,San Diego,CA,91217,USA,Thompson,Valarie,Medium
Petit Auto,,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,Dewey,Catherine,Medium
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,Lincoln,Elizabeth,Small
Gifts4AllAges.com,(617) 555-9555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,Yoshido,Juri,Medium
"Classic Gift Ideas, Inc",(215) 555-4695,782 First Street,,Philadelphia,PA,71270,USA,Cervantes,Francisca,Small
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Medium
Classic Legends Inc.,(212) 555-8493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Small
Euro Shopping Channel,,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,Freyre,Diego,Small
"Oulu Toy Supplies, Inc.",,Torikatu 38,,Oulu,,90110,Finland,Koskitalo,Pirkko,Medium
The Sharp Gifts Warehouse,(408) 555-3659,3086 Ingle Ln.,,San Jose,CA,94217,USA,Frick,Sue,Large
Gifts4AllAges.com,(617) 555-9555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,Yoshido,Juri,Small
"La Corne D'abondance, Co.",,"265, boulevard Charonne",,Paris,,75012,France,Bertrand,Marie,Medium
"Corrida Auto Replicas, Ltd",,"C/ Araquil, 67",,Madrid,,28023,Spain,Sommer,Mart°n,Medium
"Dragon Souveniers, Ltd.",,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Natividad,Eric,Medium
Mini Auto Werke,,Kirchgasse 6,,Graz,,8010,Austria,Mendel,Roland,Medium
"Saveley & Henriot, Co.",,"2, rue du Commerce",,Lyon,,69004,France,Saveley,Mary,Medium
Diecast Collectables,(617) 555-2555,6251 Ingle Ln.,,Boston,MA,51003,USA,Franco,Valarie,Medium
Handji Gifts& Co,,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,Victorino,Wendy,Large
Handji Gifts& Co,,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,Victorino,Wendy,Medium
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Medium
Online Diecast Creations Co.,(603) 555-8647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,Young,Valarie,Small
"Volvo Model Replicas, Co",(092) 112-3555,BerguvsvÑgen 8,,Lule,,S-958 22,Sweden,Berglund,Christina,Medium
Cruz & Sons Co.,,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Cruz,Arnold,Medium
Marseille Mini Autos,,"12, rue des Bouchers",,Marseille,,13008,France,Lebihan,Laurence,Large
Collectables For Less Inc.,(617) 555-8555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,Nelson,Allen,Large
"Anna's Decorations, Ltd",(029) 936-8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,O'Hara,Anna,Medium
"Toms Spezialitten, Ltd",,Mehrheimerstr. 369,,Koln,,50739,Germany,Pfalzheim,Henriette,Medium
Auto Canal Petit,,"25, rue Lauriston",,Paris,,75016,France,Perrier,Dominique,Large
"Vida Sport, Ltd",(089) 703-4555,Grenzacherweg 237,,Gensve,,1203,Switzerland,Holz,Michael,Medium
Danish Wholesale Imports,,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,Petersen,Jytte,Medium
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12 Brewery,,Liverpool,,WX1 6LT,UK,Devon,Elizabeth,Medium
L'ordine Souveniers,(052) 255-6555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,Moroni,Maurizio,Large
Online Mini Collectables,(617) 555-7555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,Barajas,Miguel,Large
"Blauer See Auto, Co.",,Lyonerstr. 34,,Frankfurt,,60528,Germany,Keitel,Roland,Medium
Suominen Souveniers,,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,Suominen,Kalle,Small
Scandinavian Gift Ideas,(069) 534-6555,?kergatan 24,,Boras,,S-844 67,Sweden,Larsson,Maria,Small
Salzburg Collectables,,Geislweg 14,,Salzburg,,5020,Austria,Pipps,Georg,Small
Muscle Machine Inc,(212) 555-7413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,Young,Jeff,Large
Super Scale Inc.,(203) 555-9545,567 North Pendale Street,,New Haven,CT,97823,USA,Murphy,Leslie,Large
"Clover Collections, Co.",,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,Cassidy,Dean,Large
CAF Imports,,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,Fernandez,Jesus,Large
Suominen Souveniers,,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,Suominen,Kalle,Large
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Medium
Heintze Collectables,,Smagsloget 45,,Aaarhus,,8200,Denmark,Ibsen,Palle,Large
Baane Mini Imports,,Erling Skakkes gate 78,,Stavern,,4110,Norway,Bergulfsen,Jonas,Small
"La Corne D'abondance, Co.",,"265, boulevard Charonne",,Paris,,75012,France,Bertrand,Marie,Small
"Corrida Auto Replicas, Ltd",,"C/ Araquil, 67",,Madrid,,28023,Spain,Sommer,Mart°n,Small
Reims Collectables,,59 rue de l'Abbaye,,Reims,,51100,France,Henriot,Paul,Medium
Lyon Souveniers,,27 rue du Colonel Pierre Avia,,Paris,,75508,France,Da Cunha,Daniel,Small
Auto Assoc. & Cie.,,"67, avenue de l'Europe",,Versailles,,78000,France,Tonini,Daniel,Medium
"Tokyo Collectables, Ltd",,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Medium
Diecast Classics Inc.,(215) 555-1555,7586 Pompton St.,,Allentown,PA,70267,USA,Yu,Kyung,Small
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Small
"Anna's Decorations, Ltd",(029) 936-8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,O'Hara,Anna,Large
Corporate Gift Ideas Co.,(650) 555-1386,7734 Strong St.,,San Francisco,CA,,USA,Brown,Julie,Small
Reims Collectables,,59 rue de l'Abbaye,,Reims,,51100,France,Henriot,Paul,Large
Toys4GrownUps.com,(626) 555-7265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,Young,Julie,Large
Vitachrome Inc.,(212) 555-1500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Frick,Michael,Medium
Online Mini Collectables,(617) 555-7555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,Barajas,Miguel,Medium
Microscale Inc.,(212) 555-1957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,Kuo,Kee,Medium
"Clover Collections, Co.",,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,Cassidy,Dean,Medium
"Blauer See Auto, Co.",,Lyonerstr. 34,,Frankfurt,,60528,Germany,Keitel,Roland,Large
Suominen Souveniers,,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,Suominen,Kalle,Medium
Amica Models & Co.,(011) 498-8555,Via Monte Bianco 34,,Torino,,10100,Italy,Accorti,Paolo,Medium
Heintze Collectables,,Smagsloget 45,,Aaarhus,,8200,Denmark,Ibsen,Palle,Medium
Marseille Mini Autos,,"12, rue des Bouchers",,Marseille,,13008,France,Lebihan,Laurence,Medium
Herkku Gifts,,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,Oeztan,Veysel,Small
"Vida Sport, Ltd",(089) 703-4555,Grenzacherweg 237,,Gensve,,1203,Switzerland,Holz,Michael,Small
L'ordine Souveniers,(052) 255-6555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,Moroni,Maurizio,Small
Boards & Toys Co.,(310) 555-2373,4097 Douglas Av.,,Glendale,CA,92561,USA,Young,Leslie,Medium
Mini Creations Ltd.,(508) 555-9555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,Tam,Wing C,Large
CAF Imports,,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,Fernandez,Jesus,Medium
Muscle Machine Inc,(212) 555-7413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,Young,Jeff,Medium
Marseille Mini Autos,,"12, rue des Bouchers",,Marseille,,13008,France,Lebihan,Laurence,Small
Mini Gifts Distributors Ltd.,(415) 555-1450,5677 Strong St.,,San Rafael,CA,97562,USA,Nelson,Valarie,Small
Collectables For Less Inc.,(617) 555-8555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,Nelson,Allen,Small
"Toms Spezialitten, Ltd",,Mehrheimerstr. 369,,Koln,,50739,Germany,Pfalzheim,Henriette,Small
Auto Canal Petit,,"25, rue Lauriston",,Paris,,75016,France,Perrier,Dominique,Small
Danish Wholesale Imports,,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,Petersen,Jytte,Small
"Blauer See Auto, Co.",,Lyonerstr. 34,,Frankfurt,,60528,Germany,Keitel,Roland,Small
"Volvo Model Replicas, Co",(092) 112-3555,BerguvsvÑgen 8,,Lule,,S-958 22,Sweden,Berglund,Christina,Small
Muscle Machine Inc,(212) 555-7413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,Young,Jeff,Small
"Iberia Gift Imports, Corp.",,"C/ Romero, 33",,Sevilla,,41101,Spain,Roel,Jose Pedro,Medium
Signal Collectibles Ltd.,(415) 555-4312,2793 Furth Circle,,Brisbane,CA,94217,USA,Taylor,Sue,Medium
"Oulu Toy Supplies, Inc.",,Torikatu 38,,Oulu,,90110,Finland,Koskitalo,Pirkko,Small
L'ordine Souveniers,(052) 255-6555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,Moroni,Maurizio,Medium
Mini Caravy,,"24, place Kluber",,Strasbourg,,67000,France,Citeaux,Frederique,Large
"Saveley & Henriot, Co.",,"2, rue du Commerce",,Lyon,,69004,France,Saveley,Mary,Small
Amica Models & Co.,(011) 498-8555,Via Monte Bianco 34,,Torino,,10100,Italy,Accorti,Paolo,Small
Motor Mint Distributors Inc.,(215) 555-9857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,Hernandez,Rosa,Medium
Signal Gift Stores,(702) 555-1838,8489 Strong St.,,Las Vegas,NV,83030,USA,King,Sue,Medium
"Norway Gifts By Mail, Co.",,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,Klaeboe,Jan,Medium
Mini Creations Ltd.,(508) 555-9555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,Tam,Wing C,Small
Rovelli Gifts,,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,Rovelli,Giovanni,Medium
"Australian Collectables, Ltd",,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Medium
West Coast Collectables Co.,(310) 555-3722,3675 Furth Circle,,Burbank,CA,94019,USA,Thompson,Steve,Small
Signal Gift Stores,(702) 555-1838,8489 Strong St.,,Las Vegas,NV,83030,USA,King,Sue,Small
Signal Collectibles Ltd.,(415) 555-4312,2793 Furth Circle,,Brisbane,CA,94217,USA,Taylor,Sue,Small
Rovelli Gifts,,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,Rovelli,Giovanni,Small
"Australian Collectables, Ltd",,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Small
Auto Assoc. & Cie.,,"67, avenue de l'Europe",,Versailles,,78000,France,Tonini,Daniel,Small
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,Ashworth,Victoria,Small
Mini Caravy,,"24, place Kluber",,Strasbourg,,67000,France,Citeaux,Frederique,Small
Handji Gifts& Co,,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,Victorino,Wendy,Small
Toys4GrownUps.com,(626) 555-7265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,Young,Julie,Small
Gift Ideas Corp.,(203) 555-4407,2440 Pompton St.,,Glendale,CT,97561,USA,Lewis,Dan,Small
Cruz & Sons Co.,,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Cruz,Arnold,Large
"Bavarian Collectables Imports, Co.",,Hansastr. 15,,Munich,,80686,Germany,Donnermeyer,Michael,Medium
"Classic Gift Ideas, Inc",(215) 555-4695,782 First Street,,Philadelphia,PA,71270,USA,Cervantes,Francisca,Large
Royale Belge,,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,Cartrain,Pascale,Medium
The Sharp Gifts Warehouse,(408) 555-3659,3086 Ingle Ln.,,San Jose,CA,94217,USA,Frick,Sue,Medium
Mini Auto Werke,,Kirchgasse 6,,Graz,,8010,Austria,Mendel,Roland,Small
Mini Caravy,,"24, place Kluber",,Strasbourg,,67000,France,Citeaux,Frederique,Medium
Online Diecast Creations Co.,(603) 555-8647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,Young,Valarie,Large
"Norway Gifts By Mail, Co.",,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,Klaeboe,Jan,Large
Classic Legends Inc.,(212) 555-8493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Hernandez,Maria,Large
"Oulu Toy Supplies, Inc.",,Torikatu 38,,Oulu,,90110,Finland,Koskitalo,Pirkko,Large
"Iberia Gift Imports, Corp.",,"C/ Romero, 33",,Sevilla,,41101,Spain,Roel,Jose Pedro,Large
Diecast Collectables,(617) 555-2555,6251 Ingle Ln.,,Boston,MA,51003,USA,Franco,Valarie,Large
Signal Collectibles Ltd.,(415) 555-4312,2793 Furth Circle,,Brisbane,CA,94217,USA,Taylor,Sue,Large
"La Corne D'abondance, Co.",,"265, boulevard Charonne",,Paris,,75012,France,Bertrand,Marie,Large
"Iberia Gift Imports, Corp.",,"C/ Romero, 33",,Sevilla,,41101,Spain,Roel,Jose Pedro,Small
Technics Stores Inc.,(650) 555-6809,9408 Furth Circle,,Burlingame,CA,94217,USA,Hirano,Juri,Small
"Dragon Souveniers, Ltd.",,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Natividad,Eric,Small
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,Brown,Ann,Small
Diecast Collectables,(617) 555-2555,6251 Ingle Ln.,,Boston,MA,51003,USA,Franco,Valarie,Small
Marta's Replicas Co.,(617) 555-8555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,Hernandez,Marta,Small
The Sharp Gifts Warehouse,(408) 555-3659,3086 Ingle Ln.,,San Jose,CA,94217,USA,Frick,Sue,Small
Gift Depot Inc.,(203) 555-2570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,King,Julie,Small
"Norway Gifts By Mail, Co.",,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,Klaeboe,Jan,Small
"Clover Collections, Co.",,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,Cassidy,Dean,Small
Mini Classics,(914) 555-4562,3758 North Pendale Street,,White Plains,NY,24067,USA,Frick,Steve,Small
Gift Ideas Corp.,(203) 555-4407,2440 Pompton St.,,Glendale,CT,97561,USA,Lewis,Dan,Medium
"Australian Gift Network, Co",,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Small
Osaka Souveniers Co.,,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Kentary,Mory,Small
Tekni Collectables Inc.,(201) 555-9350,7476 Moss Rd.,,Newark,NJ,94019,USA,Brown,William,Small
Atelier graphique,,"54, rue Royale",,Nantes,,44000,France,Schmitt,Carine,Small
Souveniers And Things Co.,,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,Huxley,Adrian,Large
Cambridge Collectables Co.,(617) 555-5555,4658 Baden Av.,,Cambridge,MA,51247,USA,Tseng,Kyung,Small
Petit Auto,,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,Dewey,Catherine,Small
Auto-Moto Classics Inc.,(617) 555-8428,16780 Pompton St.,,Brickhaven,MA,58339,USA,Taylor,Leslie,Medium
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,Hardy,Thomas,Small
"Men 'R' US Retailers, Ltd.",(215) 555-4369,6047 Douglas Av.,,Los Angeles,CA,,USA,Chandler,Michael,Small
"Bavarian Collectables Imports, Co.",,Hansastr. 15,,Munich,,80686,Germany,Donnermeyer,Michael,Small
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Small
Royale Belge,,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,Cartrain,Pascale,Small
Heintze Collectables,,Smagsloget 45,,Aaarhus,,8200,Denmark,Ibsen,Palle,Small
Motor Mint Distributors Inc.,(215) 555-9857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,Hernandez,Rosa,Large
Alpha Cognac,,1 rue Alsace-Lorraine,,Toulouse,,31000,France,Roulet,Annette,Large
Mini Classics,(914) 555-4562,3758 North Pendale Street,,White Plains,NY,24067,USA,Frick,Steve,Large
Marta's Replicas Co.,(617) 555-8555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,Hernandez,Marta,Large
"Toms Spezialitten, Ltd",,Mehrheimerstr. 369,,Koln,,50739,Germany,Pfalzheim,Henriette,Large
"Toys of Finland, Co.",,Keskuskatu 45,,Helsinki,,21240,Finland,Karttunen,Matti,Large
Cruz & Sons Co.,,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Cruz,Arnold,Small
